CustomerID,Quantity,Total_sales,Country,InvoiceNo,Description,InvoiceDate,RFM_score,Cluster,R_rate,F_rate,M_rate,RFM_segment
12346.0,0,0.0,United Kingdom,C541433,MEDIUM CERAMIC TOP STORAGE JAR,2011-01-18,3,1,1,1,1,111
12347.0,2458,4309.999999999997,Iceland,581180,WOODLAND DESIGN  COTTON TOTE BAG,2011-12-07,12,0,4,4,4,444
12348.0,2341,1797.24,Finland,568172,SWEETIES  STICKERS,2011-09-25,10,0,2,4,4,244
12349.0,631,1757.55,Italy,577609,ZINC FOLKART SLEIGH BELLS,2011-11-21,10,0,3,3,4,344
12350.0,197,334.40000000000003,Norway,543037,UNION JACK FLAG PASSPORT COVER ,2011-02-02,5,1,1,2,2,122
12352.0,470,1545.4100000000005,Norway,C547388,ZINC HEART FLOWER T-LIGHT HOLDER,2011-11-03,9,0,3,3,3,333
12353.0,20,89.0,Bahrain,553900,NOVELTY BISCUITS CAKE STAND 3 TIER,2011-05-19,3,1,1,1,1,111
12354.0,530,1079.4,Spain,550911,WOODEN HAPPY BIRTHDAY GARLAND,2011-04-21,7,1,1,3,3,133
12355.0,240,459.4,Bahrain,552449,VANILLA SCENT CANDLE JEWELLED BOX,2011-05-09,5,1,1,2,2,122
12356.0,1591,2811.4300000000007,Portugal,576895,WHITE HEART CONFETTI IN TUBE,2011-11-17,11,0,3,4,4,344
12357.0,2708,6207.669999999996,Switzerland,574740,WOODEN ADVENT CALENDAR RED,2011-11-06,11,0,3,4,4,344
12358.0,248,1168.06,Austria,581232,STRAWBERRY CERAMIC TRINKET BOX,2011-12-08,9,0,4,2,3,433
12359.0,1599,6182.980000000006,Cyprus,C580165,ZINC BOX SIGN HOME,2011-12-02,12,0,4,4,4,444
12360.0,1165,2662.0600000000004,Austria,571705,WOODLAND DESIGN  COTTON TOTE BAG,2011-10-18,10,0,2,4,4,244
12361.0,91,189.89999999999998,Belgium,545017,SPACEBOY LUNCH BOX ,2011-02-25,3,1,1,1,1,111
12362.0,2212,5154.580000000002,Belgium,C579178,WOODLAND MINI BACKPACK,2011-12-06,12,0,4,4,4,444
12363.0,408,552.0,Unspecified,563947,VINTAGE CHRISTMAS BUNTING,2011-08-22,7,1,2,3,2,222
12364.0,1506,1313.1000000000001,Belgium,580152,WRAP SUKI AND FRIENDS,2011-12-02,11,0,4,4,3,433
12365.0,173,320.69,Cyprus,C544577,WHITE LOVEBIRD LANTERN,2011-02-21,5,1,1,2,2,122
12367.0,173,168.9,Denmark,580716,WRAP DOLLY GIRL,2011-12-05,7,1,4,2,1,411
12370.0,2352,3541.939999999998,Cyprus,571905,ZINC HEART LATTICE T-LIGHT HOLDER,2011-10-19,10,0,2,4,4,244
12371.0,591,1887.9600000000003,Switzerland,572770,WHITE SKULL HOT WATER BOTTLE ,2011-10-26,10,0,3,3,4,344
12372.0,794,1298.0400000000002,Denmark,568872,WRAP VINTAGE PETALS  DESIGN,2011-09-29,8,0,2,3,3,233
12373.0,197,364.6,Austria,542887,WOODLAND CHARLOTTE BAG,2011-02-01,5,1,1,2,2,122
12374.0,342,742.93,Austria,576345,TRADITIONAL NAUGHTS & CROSSES,2011-11-14,8,0,3,2,3,333
12375.0,177,455.42000000000013,Finland,C581071,WOODLAND CHARLOTTE BAG,2011-12-07,8,0,4,2,2,422
12377.0,944,1628.1199999999997,Switzerland,542586,WOODLAND  STICKERS,2011-01-28,8,0,1,3,4,144
12378.0,2529,4008.6200000000013,Switzerland,562046,WRAP SUKI AND FRIENDS,2011-08-02,10,0,2,4,4,244
12379.0,406,850.2899999999996,Belgium,C559193,WOODLAND STORAGE BOX SMALL,2011-09-19,8,0,2,3,3,233
12380.0,1126,2720.56,Belgium,C572532,WOODLAND DESIGN  COTTON TOTE BAG,2011-11-18,11,0,3,4,4,344
12381.0,783,1803.9600000000005,Norway,C565050,WRAP 50'S  CHRISTMAS,2011-12-05,11,0,4,3,4,444
12383.0,1529,1839.3099999999997,Belgium,C541586,WHITE WOOD GARDEN PLANT LADDER,2011-06-08,9,0,1,4,4,144
12384.0,121,566.16,Switzerland,C567540,VINTAGE DOILY DELUXE SEWING KIT ,2011-11-11,6,1,3,1,2,322
12386.0,354,401.90000000000003,Australia,540280,SET OF 2 ROUND TINS CAMEMBERT ,2011-01-06,5,1,1,2,2,122
12388.0,1462,2780.6600000000003,Australia,578459,VINTAGE RED TRIM ENAMEL BOWL ,2011-11-24,12,0,4,4,4,444
12390.0,353,549.8399999999999,Belgium,567530,WRAP SUKI AND FRIENDS,2011-09-21,6,1,2,2,2,222
12391.0,293,439.65999999999997,Cyprus,577228,WOOD STAMP SET THANK YOU,2011-11-18,7,1,3,2,2,322
12393.0,816,1582.6000000000004,Australia,568708,WOODLAND PARTY BAG + STICKER SET,2011-09-28,8,0,2,3,3,233
12394.0,819,1272.48,Denmark,569997,TOADSTOOL MONEY BOX,2011-10-07,8,0,2,3,3,233
12395.0,2113,2998.279999999999,Belgium,C578432,WOODLAND MINI BACKPACK,2011-11-24,12,0,4,4,4,444
12397.0,1263,2409.9000000000005,Belgium,574336,WOODLAND MINI BACKPACK,2011-11-04,11,0,3,4,4,344
12398.0,1394,1635.6599999999999,Switzerland,572567,WRAP RED VINTAGE DOILY,2011-10-25,11,0,3,4,4,344
12399.0,1178,1108.65,Belgium,563172,SPOTTY BUNTING,2011-08-12,9,0,2,4,3,233
12401.0,11,84.3,Belgium,543537,REGENCY CAKESTAND 3 TIER,2011-02-09,3,1,1,1,1,111
12402.0,94,225.6,Belgium,541675,WATERING CAN PINK BUNNY,2011-01-20,3,1,1,1,1,111
12403.0,95,409.7,Denmark,C572187,POSTAGE,2011-10-21,6,1,3,1,2,322
12405.0,857,1710.3900000000006,Finland,559928,WOODLAND STORAGE BOX SMALL,2011-07-14,8,0,1,3,4,144
12406.0,1809,3280.7500000000014,Denmark,C562728,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-11-17,11,0,3,4,4,344
12407.0,1416,1708.1199999999997,Belgium,572133,TEATIME ROUND PENCIL SHARPENER ,2011-10-21,11,0,3,4,4,344
12408.0,1399,2842.57,Belgium,C574865,WOODLAND MINI BACKPACK,2011-11-07,11,0,3,4,4,344
12409.0,5543,11056.930000000004,Switzerland,C567677,YOU'RE CONFUSING ME METAL SIGN ,2011-09-22,10,0,2,4,4,244
12410.0,209,681.0799999999999,Switzerland,C543773,WASHROOM METAL SIGN,2011-02-11,6,1,1,2,3,133
12412.0,829,1226.8799999999999,Denmark,568223,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-09-26,8,0,2,3,3,233
12413.0,282,694.15,France,C540853,TOOL BOX SOFT TOY ,2011-10-04,7,1,2,2,3,233
12414.0,300,562.41,Austria,552202,TEA TIME PARTY BUNTING,2011-05-06,5,1,1,2,2,122
12415.0,77242,123725.44999999987,Australia,C574344,YELLOW GIANT GARDEN THERMOMETER,2011-11-15,11,2,3,4,4,344
12417.0,1539,3578.8,Spain,C575669,WRAP RED VINTAGE DOILY,2011-12-06,12,0,4,4,4,444
12418.0,407,668.5799999999997,Switzerland,563756,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-08-19,8,0,2,3,3,233
12420.0,345,600.3900000000001,Cyprus,570000,STRAWBERRY FAIRY CAKE TEAPOT,2011-10-07,6,1,2,2,2,222
12421.0,483,806.2700000000002,Spain,C557300,WHITE LOVEBIRD LANTERN,2011-11-24,10,0,4,3,3,433
12422.0,370,803.5599999999998,Switzerland,565466,STRAWBERRY SHOPPER BAG,2011-09-05,8,0,2,3,3,233
12423.0,1327,1849.1100000000001,Belgium,C565294,WOODLAND CHARLOTTE BAG,2011-12-09,12,0,4,4,4,444
12424.0,740,1760.9599999999998,Australia,558537,VINTAGE HEADS AND TAILS CARD GAME ,2011-06-30,8,0,1,3,4,144
12425.0,496,777.1999999999999,Portugal,567929,TV DINNER TRAY AIR HOSTESS ,2011-09-22,8,0,2,3,3,233
12426.0,258,582.7299999999999,Germany,554985,WRAP BAD HAIR DAY,2011-05-29,5,1,1,2,2,122
12427.0,236,708.3700000000001,Germany,C579090,WOODLAND  HEIGHT CHART STICKERS ,2011-11-28,9,0,4,2,3,433
12428.0,3503,7877.200000000004,Finland,C564108,WRAP PINK FAIRY CAKES ,2011-11-14,11,0,3,4,4,344
12429.0,1557,3750.400000000001,Denmark,579881,WOODLAND PARTY BAG + STICKER SET,2011-11-30,12,0,4,4,4,444
12430.0,117,256.4,Norway,573108,ZINC T-LIGHT HOLDER STARS SMALL,2011-10-27,5,1,3,1,1,311
12431.0,2858,6348.889999999999,Belgium,C561227,WRAP 50'S  CHRISTMAS,2011-11-04,11,0,3,4,4,344
12432.0,1801,5059.3200000000015,Norway,573200,ZINC WILLIE WINKIE  CANDLE STICK,2011-10-28,11,0,3,4,4,344
12433.0,11071,13375.869999999992,Norway,581491,YOU'RE CONFUSING ME METAL SIGN ,2011-12-09,12,0,4,4,4,444
12434.0,373,765.1899999999999,Australia,C548729,VINTAGE UNION JACK MEMOBOARD,2011-09-16,8,0,2,3,3,233
12435.0,2055,7829.889999999998,Denmark,567526,WOODEN SKITTLES GARDEN SET,2011-09-21,10,0,2,4,4,244
12436.0,211,509.01000000000005,Norway,565124,SPOTTY BUNTING,2011-09-01,6,1,2,2,2,222
12437.0,2918,4896.659999999998,France,C542714,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2011-12-08,12,0,4,4,4,444
12438.0,1180,2906.8500000000004,Norway,578811,WOODLAND STORAGE BOX SMALL,2011-11-25,12,0,4,4,4,444
12441.0,121,173.55,France,537693,WRAP I LOVE LONDON ,2010-12-08,3,1,1,1,1,111
12442.0,182,172.06,Spain,580955,WRAP PAISLEY PARK ,2011-12-06,7,1,4,2,1,411
12444.0,1155,5005.46,Norway,577314,ZINC WILLIE WINKIE  CANDLE STICK,2011-11-18,11,0,3,4,4,344
12445.0,62,133.4,Spain,577125,POSTAGE,2011-11-17,5,1,3,1,1,311
12446.0,352,1002.3099999999998,RSA,571035,WOODEN CROQUET GARDEN SET,2011-10-13,7,1,2,2,3,233
12447.0,190,476.49,Belgium,549559,ROUND SNACK BOXES SET OF4 WOODLAND ,2011-04-10,5,1,1,2,2,122
12448.0,243,449.4500000000001,Spain,572886,TV DINNER TRAY AIR HOSTESS ,2011-10-26,7,1,3,2,2,322
12449.0,1553,4067.2900000000013,Belgium,577046,WOODEN BOX OF DOMINOES,2011-11-17,11,0,3,4,4,344
12450.0,128,197.88,Spain,559148,SMALL CERAMIC TOP STORAGE JAR ,2011-07-06,3,1,1,1,1,111
12451.0,6455,8933.519999999999,Switzerland,C560219,ZINC WILLIE WINKIE  CANDLE STICK,2011-11-29,12,0,4,4,4,444
12452.0,183,428.57000000000005,Switzerland,C578122,VICTORIAN SEWING KIT,2011-11-23,8,0,4,2,2,422
12453.0,473,707.0899999999999,Austria,561627,WRAP RED DOILEY,2011-07-28,8,0,2,3,3,233
12454.0,0,-5.684341886080802e-14,Spain,C571499,WOODEN PICTURE FRAME WHITE FINISH,2011-10-17,4,1,2,1,1,211
12455.0,2089,2466.859999999997,Spain,568554,ZINC METAL HEART DECORATION,2011-09-27,10,0,2,4,4,244
12456.0,1616,3153.889999999998,Switzerland,C564134,ZINC WILLIE WINKIE  CANDLE STICK,2011-10-26,11,0,3,4,4,344
12457.0,695,1917.78,Switzerland,C570835,WOODLAND MINI BACKPACK,2011-10-12,9,0,2,3,4,244
