CustomerID,Quantity,Total_sales,Country,InvoiceNo,Description,InvoiceDate,Cluster,RFM_score
12346.0,0,0.0,United Kingdom,C541433,MEDIUM CERAMIC TOP STORAGE JAR,2011-01-18,1,3
12347.0,2458,4309.999999999997,Iceland,581180,WOODLAND DESIGN  COTTON TOTE BAG,2011-12-07,1,12
12348.0,2341,1797.24,Finland,568172,SWEETIES  STICKERS,2011-09-25,1,10
12349.0,631,1757.55,Italy,577609,ZINC FOLKART SLEIGH BELLS,2011-11-21,1,10
12350.0,197,334.40000000000003,Norway,543037,UNION JACK FLAG PASSPORT COVER ,2011-02-02,1,5
12352.0,470,1545.4100000000005,Norway,C547388,ZINC HEART FLOWER T-LIGHT HOLDER,2011-11-03,1,9
12353.0,20,89.0,Bahrain,553900,NOVELTY BISCUITS CAKE STAND 3 TIER,2011-05-19,1,3
12354.0,530,1079.4,Spain,550911,WOODEN HAPPY BIRTHDAY GARLAND,2011-04-21,1,7
12355.0,240,459.4,Bahrain,552449,VANILLA SCENT CANDLE JEWELLED BOX,2011-05-09,1,5
12356.0,1591,2811.4300000000007,Portugal,576895,WHITE HEART CONFETTI IN TUBE,2011-11-17,1,11
12357.0,2708,6207.669999999996,Switzerland,574740,WOODEN ADVENT CALENDAR RED,2011-11-06,1,11
12358.0,248,1168.06,Austria,581232,STRAWBERRY CERAMIC TRINKET BOX,2011-12-08,1,9
12359.0,1599,6182.980000000006,Cyprus,C580165,ZINC BOX SIGN HOME,2011-12-02,1,12
12360.0,1165,2662.0600000000004,Austria,571705,WOODLAND DESIGN  COTTON TOTE BAG,2011-10-18,1,10
12361.0,91,189.89999999999998,Belgium,545017,SPACEBOY LUNCH BOX ,2011-02-25,1,3
12362.0,2212,5154.580000000002,Belgium,C579178,WOODLAND MINI BACKPACK,2011-12-06,1,12
12363.0,408,552.0,Unspecified,563947,VINTAGE CHRISTMAS BUNTING,2011-08-22,1,7
12364.0,1506,1313.1000000000001,Belgium,580152,WRAP SUKI AND FRIENDS,2011-12-02,1,11
12365.0,173,320.69,Cyprus,C544577,WHITE LOVEBIRD LANTERN,2011-02-21,1,5
